lon,lat,ruta
-70.36828,-33.35393,1
-70.36803,-33.35382,1
-70.36788,-33.35374,1
-70.36773,-33.35364,1
-70.36754,-33.3535,1
-70.36751,-33.35347,1
-70.36743,-33.3534,1
-70.36738,-33.35333,1
-70.36736,-33.35332,1
-70.36725,-33.35321,1
-70.36722,-33.35316,1
-70.36717,-33.35307,1
-70.36715,-33.35301,1
-70.36711,-33.35292,1
-70.36708,-33.35286,1
-70.36703,-33.35281,1
-70.36698,-33.35276,1
-70.36692,-33.35271,1
-70.36687,-33.35263,1
-70.36684,-33.35258,1
-70.36683,-33.35255,1
-70.36683,-33.35249,1
-70.36683,-33.35244,1
-70.36685,-33.35238,1
-70.36685,-33.3523,1
-70.36684,-33.35221,1
-70.3668,-33.35211,1
-70.36678,-33.35206,1
-70.36674,-33.35203,1
-70.36672,-33.35201,1
-70.36669,-33.35201,1
-70.36665,-33.352,1
-70.36661,-33.35199,1
-70.36659,-33.35197,1
-70.36653,-33.35194,1
-70.36641,-33.35187,1
-70.3664,-33.35186,1
-70.36632,-33.35182,1
-70.36625,-33.35176,1
-70.36619,-33.35171,1
-70.36616,-33.35166,1
-70.36567,-33.35099,1
-70.36561,-33.35091,1
-70.36554,-33.35083,1
-70.36547,-33.35077,1
-70.36543,-33.35074,1
-70.3654,-33.35072,1
-70.36533,-33.35066,1
-70.3653,-33.35063,1
-70.36525,-33.35058,1
-70.3652,-33.35051,1
-70.36515,-33.35044,1
-70.36506,-33.35025,1
-70.36497,-33.35006,1
-70.36495,-33.34996,1
-70.3649,-33.34987,1
-70.36485,-33.34978,1
-70.36479,-33.34968,1
-70.36476,-33.34963,1
-70.36473,-33.3496,1
-70.36466,-33.34954,1
-70.3646,-33.3495,1
-70.36452,-33.34942,1
-70.36448,-33.34937,1
-70.36444,-33.34932,1
-70.36441,-33.34924,1
-70.36435,-33.34912,1
-70.36432,-33.34907,1
-70.3643,-33.34902,1
-70.3643,-33.34898,1
-70.36428,-33.34892,1
-70.36428,-33.34886,1
-70.36428,-33.34881,1
-70.36429,-33.34875,1
-70.36429,-33.34868,1
-70.36429,-33.34864,1
-70.36429,-33.34861,1
-70.36429,-33.34855,1
-70.3643,-33.34843,1
-70.36439,-33.34782,1
-70.36441,-33.34762,1
-70.3644,-33.34758,1
-70.3644,-33.34756,1
-70.3644,-33.34753,1
-70.36438,-33.34749,1
-70.36436,-33.34745,1
-70.3643,-33.34739,1
-70.36425,-33.34732,1
-70.36409,-33.34713,1
-70.364,-33.34704,1
-70.36393,-33.34698,1
-70.36386,-33.34682,1
-70.36386,-33.34681,1
-70.36381,-33.34667,1
-70.3638,-33.34656,1
-70.36381,-33.34644,1
-70.36386,-33.34629,1
-70.3639,-33.34612,1
-70.36391,-33.34598,1
-70.36389,-33.34587,1
-70.36383,-33.34547,1
-70.36382,-33.34533,1
-70.36384,-33.34519,1
-70.36389,-33.34504,1
-70.36389,-33.34502,1
-70.36399,-33.34488,1
-70.364,-33.34486,1
-70.36417,-33.34465,1
-70.36429,-33.34452,1
-70.36434,-33.34442,1
-70.36438,-33.34429,1
-70.3644,-33.34418,1
-70.36438,-33.3441,1
-70.36435,-33.34402,1
-70.36429,-33.34394,1
-70.36407,-33.34372,1
-70.36398,-33.34357,1
-70.36393,-33.34344,1
-70.36392,-33.34334,1
-70.36387,-33.34285,1
-70.36386,-33.34275,1
-70.36385,-33.34267,1
-70.36382,-33.34243,1
-70.3638,-33.34222,1
-70.36378,-33.34204,1
-70.36373,-33.34177,1
-70.3637,-33.34159,1
-70.3637,-33.34158,1
-70.3637,-33.34147,1
-70.36372,-33.34136,1
-70.36377,-33.34124,1
-70.36379,-33.3412,1
-70.36384,-33.34107,1
-70.36389,-33.34095,1
-70.36396,-33.34075,1
-70.36397,-33.34073,1
-70.364,-33.3406,1
-70.36401,-33.34053,1
-70.36403,-33.34042,1
-70.36407,-33.34008,1
-70.36408,-33.34002,1
-70.36409,-33.33999,1
-70.36411,-33.33994,1
-70.36413,-33.33989,1
-70.36422,-33.33979,1
-70.3643,-33.33968,1
-70.36443,-33.33956,1
-70.36449,-33.33952,1
-70.36451,-33.33951,1
-70.36461,-33.33946,1
-70.36468,-33.33943,1
-70.36472,-33.33942,1
-70.36481,-33.33938,1
-70.36487,-33.33934,1
-70.36495,-33.33926,1
-70.36501,-33.33916,1
-70.36503,-33.33906,1
-70.36503,-33.33897,1
-70.36502,-33.33884,1
-70.36499,-33.33873,1
-70.36494,-33.33859,1
-70.36489,-33.33845,1
-70.36475,-33.33819,1
-70.36473,-33.33816,1
-70.3646,-33.33791,1
-70.36457,-33.33782,1
-70.36455,-33.33778,1
-70.36454,-33.33767,1
-70.36453,-33.33765,1
-70.36451,-33.33752,1
-70.36452,-33.3374,1
-70.36455,-33.33713,1
-70.36463,-33.33681,1
-70.36469,-33.33654,1
-70.36476,-33.33639,1
-70.36477,-33.33634,1
-70.36478,-33.33628,1
-70.36477,-33.33619,1
-70.36473,-33.33603,1
-70.36471,-33.33589,1
-70.36464,-33.33515,1
-70.36461,-33.33503,1
-70.36459,-33.33499,1
-70.36453,-33.33489,1
-70.3644,-33.3347,1
-70.36439,-33.33467,1
-70.36431,-33.33451,1
-70.3643,-33.33449,1
-70.36427,-33.33433,1
-70.36426,-33.33417,1
-70.36427,-33.33407,1
-70.36432,-33.33396,1
-70.36443,-33.33377,1
-70.36449,-33.33366,1
-70.36449,-33.33365,1
-70.3645,-33.33363,1
-70.36451,-33.3336,1
-70.3645,-33.33357,1
-70.3645,-33.33354,1
-70.36448,-33.3335,1
-70.36445,-33.33345,1
-70.36443,-33.33341,1
-70.36438,-33.33337,1
-70.36419,-33.33321,1
-70.36403,-33.33308,1
-70.3639,-33.33299,1
-70.36387,-33.33297,1
-70.36378,-33.33292,1
-70.36371,-33.3329,1
-70.36363,-33.33288,1
-70.36359,-33.33287,1
-70.36353,-33.33287,1
-70.36346,-33.33288,1
-70.36326,-33.3329,1
-70.36325,-33.3329,1
-70.36315,-33.33289,1
-70.36308,-33.33288,1
-70.36304,-33.33286,1
-70.36303,-33.33285,1
-70.36299,-33.33283,1
-70.36297,-33.33281,1
-70.36294,-33.33276,1
-70.36292,-33.33271,1
-70.36292,-33.3327,1
-70.36288,-33.33261,1
-70.36283,-33.33255,1
-70.3628,-33.33252,1
-70.36275,-33.3325,1
-70.36265,-33.33246,1
-70.36239,-33.33238,1
-70.36231,-33.33234,1
-70.36227,-33.3323,1
-70.36223,-33.33228,1
-70.36189,-33.33198,1
-70.36182,-33.33191,1
-70.36164,-33.33174,1
-70.36157,-33.33165,1
-70.36154,-33.33157,1
-70.36153,-33.33146,1
-70.36153,-33.33131,1
-70.36159,-33.33106,1
-70.36162,-33.33093,1
-70.36162,-33.33092,1
-70.36164,-33.33085,1
-70.36163,-33.33078,1
-70.36163,-33.33074,1
-70.36161,-33.33066,1
-70.36161,-33.33053,1
-70.36161,-33.33044,1
-70.36159,-33.33031,1
-70.36155,-33.33019,1
-70.36148,-33.33006,1
-70.36141,-33.32993,1
-70.3614,-33.32988,1
-70.3614,-33.32986,1
-70.3614,-33.32983,1
-70.36141,-33.3298,1
-70.36143,-33.32978,1
-70.36145,-33.32976,1
-70.36154,-33.3297,1
-70.36168,-33.32964,1
-70.3618,-33.32959,1
-70.36188,-33.32956,1
-70.36193,-33.32955,1
-70.36197,-33.32954,1
-70.36204,-33.32953,1
-70.36212,-33.32951,1
-70.3622,-33.32949,1
-70.36227,-33.32944,1
-70.3623,-33.32941,1
-70.36233,-33.32938,1
-70.36235,-33.32934,1
-70.36237,-33.32931,1
-70.36237,-33.32928,1
-70.36237,-33.32926,1
-70.36236,-33.32923,1
-70.36235,-33.32918,1
-70.36233,-33.32914,1
-70.3623,-33.32911,1
-70.36229,-33.3291,1
-70.36223,-33.32906,1
-70.36204,-33.32892,1
-70.3618,-33.32878,1
-70.36175,-33.32875,1
-70.36166,-33.32869,1
-70.36163,-33.32866,1
-70.36159,-33.32863,1
-70.36156,-33.3286,1
-70.36154,-33.32857,1
-70.36148,-33.32847,1
-70.36141,-33.328360000000004,1
-70.3613,-33.32817,1
-70.36127,-33.32812,1
-70.36124,-33.32806,1
-70.36123,-33.32805,1
-70.36123,-33.32803,1
-70.36123,-33.32802,1
-70.36123,-33.32799,1
-70.36123,-33.32797,1
-70.36123,-33.32795,1
-70.36124,-33.32793,1
-70.36125,-33.32791,1
-70.36128,-33.32788,1
-70.36129,-33.32787,1
-70.36133,-33.32782,1
-70.36138,-33.32773,1
-70.36142,-33.32762,1
-70.36145,-33.32753,1
-70.36147,-33.32748,1
-70.3615,-33.32736,1
-70.36151,-33.32724,1
-70.36153,-33.32718,1
-70.36153,-33.32717,1
-70.36157,-33.32711,1
-70.36166,-33.32703,1
-70.36176,-33.32694,1
-70.3618,-33.32691,1
-70.36185,-33.32685,1
-70.36191,-33.32678,1
-70.36195,-33.3267,1
-70.36196,-33.32661,1
-70.36196,-33.32652,1
-70.36195,-33.32646,1
-70.36193,-33.3264,1
-70.36189,-33.32632,1
-70.36183,-33.32625,1
-70.36181,-33.32622,1
-70.36175,-33.32616,1
-70.3617,-33.32611,1
-70.36165,-33.32604,1
-70.36155,-33.32587,1
-70.36153,-33.32574,1
-70.36149,-33.32559,1
-70.36148,-33.32557,1
-70.36145,-33.32543,1
-70.36143,-33.32535,1
-70.36142,-33.32528,1
-70.36142,-33.32521,1
-70.36142,-33.32519,1
-70.36135,-33.32451,1
-70.36129,-33.32416,1
-70.36127,-33.32407,1
-70.36125,-33.32402,1
-70.36124,-33.32401,1
-70.36122,-33.32396,1
-70.36116,-33.32384,1
-70.36111,-33.32374,1
-70.36108,-33.32363,1
-70.36106,-33.32353,1
-70.36105,-33.32342,1
-70.36105,-33.32337,1
-70.36105,-33.3233,1
-70.36107,-33.32319,1
-70.36109,-33.32305,1
-70.36111,-33.32296,1
-70.36111,-33.32295,1
-70.36112,-33.32292,1
-70.36112,-33.32288,1
-70.36112,-33.32279,1
-70.36111,-33.32274,1
-70.36108,-33.3226,1
-70.36099,-33.32213,1
-70.36097,-33.32204,1
-70.36094,-33.32193,1
-70.36094,-33.32186,1
-70.36095,-33.32181,1
-70.36098,-33.32177,1
-70.361,-33.32174,1
-70.36108,-33.32168,1
-70.36119,-33.32161,1
-70.36123,-33.32158,1
-70.36126,-33.32154,1
-70.36129,-33.32148,1
-70.3613,-33.32142,1
-70.36134,-33.32127,1
-70.36139,-33.32101,1
-70.36142,-33.32089,1
-70.36143,-33.32087,1
-70.36147,-33.32076,1
-70.36152,-33.32063,1
-70.36153,-33.3205,1
-70.3615,-33.32034,1
-70.36148,-33.3203,1
-70.36147,-33.32026,1
-70.36143,-33.32019,1
-70.36139,-33.32014,1
-70.36136,-33.32009,1
-70.36131,-33.32,1
-70.36124,-33.31983,1
-70.36119,-33.31959,1
-70.36117,-33.31945,1
-70.36115,-33.31938,1
-70.36114,-33.31917,1
-70.36112,-33.31896,1
-70.36113,-33.31877,1
-70.36112,-33.31862,1
-70.3611,-33.31855,1
-70.36108,-33.31842,1
-70.36107,-33.31837,1
-70.36105,-33.31829,1
-70.361,-33.31816,1
-70.36084,-33.31787,1
-70.36076,-33.31771,1
-70.36071,-33.31762,1
-70.36069,-33.31754,1
-70.3606,-33.31724,1
-70.36054,-33.31702,1
-70.36049,-33.31686,1
-70.36042,-33.31676,1
-70.36037,-33.31669,1
-70.36034,-33.31664,1
-70.3603,-33.31659,1
-70.36018,-33.31643,1
-70.36002,-33.31623,1
-70.35991,-33.31609,1
-70.35975,-33.31591,1
-70.35971,-33.31585,1
-70.35968,-33.31578,1
-70.35966,-33.31571,1
-70.35965,-33.31563,1
-70.35963,-33.31551,1
-70.35963,-33.31543,1
-70.35963,-33.31542,1
-70.35962,-33.31499,1
-70.35961,-33.31491,1
-70.35957,-33.31482,1
-70.35955,-33.31477,1
-70.3595,-33.3147,1
-70.3594,-33.3146,1
-70.35898,-33.31426,1
-70.35874,-33.31397,1
-70.35866,-33.31384,1
-70.35864,-33.31379,1
-70.35862,-33.313720000000004,1
-70.35858,-33.31344,1
-70.35856,-33.31329,1
-70.35855,-33.31324,1
-70.35853,-33.31318,1
-70.3585,-33.31313,1
-70.35846,-33.31308,1
-70.35837,-33.31301,1
-70.35828,-33.31293,1
-70.35825,-33.31289,1
-70.35821,-33.31279,1
-70.35816,-33.31269,1
-70.35812,-33.31257,1
-70.35807,-33.31247,1
-70.35806,-33.31246,1
-70.35803,-33.31241,1
-70.35803,-33.3124,1
-70.35798,-33.31235,1
-70.35791,-33.3123,1
-70.35773,-33.31216,1
-70.35764,-33.31209,1
-70.35761,-33.31205,1
-70.35758,-33.31201,1
-70.35756,-33.31196,1
-70.35754,-33.3119,1
-70.35754,-33.31185,1
-70.35754,-33.3118,1
-70.35754,-33.31167,1
-70.35754,-33.31165,1
-70.35754,-33.31155,1
-70.35754,-33.31149,1
-70.35752,-33.31131,1
-70.35752,-33.3113,1
-70.3575,-33.31117,1
-70.35749,-33.31096,1
-70.3575,-33.31089,1
-70.35751,-33.31081,1
-70.35756,-33.31068,1
-70.35761,-33.31051,1
-70.35764,-33.31033,1
-70.35766,-33.31018,1
-70.35765,-33.31007,1
-70.35765,-33.31001,1
-70.3576,-33.30978,1
-70.35755,-33.30964,1
-70.35749,-33.30955,1
-70.35745,-33.3095,1
-70.35736,-33.30936,1
-70.35729,-33.30923,1
-70.35726,-33.30918,1
-70.35718,-33.30896,1
-70.35684,-33.30814,1
-70.35683,-33.30808,1
-70.35684,-33.30801,1
-70.35685,-33.30796,1
-70.35686,-33.3079,1
-70.35689,-33.30785,1
-70.35692,-33.30781,1
-70.35694,-33.30778,1
-70.357,-33.30771,1
-70.35714,-33.30753,1
-70.35758,-33.30697,1
-70.35775,-33.30675,1
-70.35785,-33.30659,1
-70.3579,-33.30653,1
-70.35792,-33.30646,1
-70.35793,-33.30638,1
-70.35793,-33.30628,1
-70.35793,-33.30621,1
-70.35795,-33.30607,1
-70.35797,-33.30599,1
-70.35798,-33.30594,1
-70.35804,-33.30583,1
-70.35818,-33.3056,1
-70.35829,-33.30545,1
-70.35852,-33.30512,1
-70.35865,-33.30491,1
-70.35867,-33.30487,1
-70.35871,-33.3048,1
-70.35875,-33.30469,1
-70.3588,-33.3046,1
-70.35883,-33.30456,1
-70.35886,-33.30451,1
-70.35888,-33.30443,1
-70.35892,-33.30434,1
-70.35897,-33.3041,1
-70.35898,-33.30402,1
-70.35899,-33.30398,1
-70.35902,-33.3038,1
-70.35903,-33.3037,1
-70.35902,-33.30362,1
-70.359,-33.30353,1
-70.35895,-33.30343,1
-70.35891,-33.30337,1
-70.35887,-33.30332,1
-70.35876,-33.30322,1
-70.3982,-33.37023,1
-70.39799,-33.37011,1
-70.39787,-33.36999,1
-70.39815,-33.36971,1
-70.39819,-33.36969,1
-70.39823,-33.36969,1
-70.39837,-33.36975,1
-70.39848,-33.36984,1
-70.3985,-33.36992,1
-70.39849,-33.36996,1
-70.39849,-33.36999,1
-70.3985,-33.36999,1
-70.39851,-33.37,1
-70.39855,-33.37,1
-70.39858,-33.36999,1
-70.39863,-33.36999,1
-70.39861,-33.36995,1
-70.39856,-33.36973,1
-70.39858,-33.36967,1
-70.39831,-33.36939,1
-70.3983,-33.36937,1
-70.39805,-33.36911,1
-70.39738,-33.36832,1
-70.39717,-33.36811,1
-70.39717,-33.3681,1
-70.39492,-33.36606,1
-70.39471,-33.36594,1
-70.39456,-33.36589,1
-70.39437,-33.36586,1
-70.3943,-33.36586,1
-70.39397,-33.3659,1
-70.39391,-33.36592,1
-70.39377,-33.36594,1
-70.39353,-33.36593,1
-70.39332,-33.36587,1
-70.39301,-33.36572,1
-70.39274,-33.36565,1
-70.39048,-33.36526,1
-70.38912,-33.36479,1
-70.38843,-33.3645,1
-70.38825,-33.36445,1
-70.38693,-33.36432,1
-70.3867,-33.36428,1
-70.38638,-33.36417,1
-70.38621,-33.36408,1
-70.38565,-33.3637,1
-70.38522,-33.36344,1
-70.38494,-33.36333,1
-70.38446,-33.3632,1
-70.38354,-33.3631,1
-70.38344,-33.36307,1
-70.38343,-33.36307,1
-70.38336,-33.36304,1
-70.38322,-33.36291,1
-70.38314,-33.36281,1
-70.38289,-33.36256,1
-70.38268,-33.3624,1
-70.38173,-33.36184,1
-70.38128,-33.36146,1
-70.38108,-33.36136,1
-70.38082,-33.36129,1
-70.3799,-33.36097,1
-70.37859,-33.36042,1
-70.37847,-33.36033,1
-70.3784,-33.36025,1
-70.37834,-33.36016,1
-70.37827,-33.36002,1
-70.37818,-33.35974,1
-70.37809,-33.35953,1
-70.37805,-33.35948,1
-70.37799,-33.35943,1
-70.37721,-33.35899,1
-70.37679,-33.35871,1
-70.37656,-33.35853,1
-70.3752,-33.35771,1
-70.37503,-33.35765,1
-70.37479,-33.35762,1
-70.3747,-33.35762,1
-70.3744,-33.35757,1
-70.37421,-33.35749,1
-70.37328,-33.35699,1
-70.37304,-33.3568,1
-70.37274,-33.35648,1
-70.3725,-33.3563,1
-70.37228,-33.35618,1
-70.37218,-33.35614,1
-70.37211,-33.35613,1
-70.37198,-33.35609,1
-70.37172,-33.35609,1
-70.37152,-33.35611,1
-70.37123,-33.3562,1
-70.3709,-33.35633,1
-70.37068,-33.35634,1
-70.37051,-33.3563,1
-70.37044,-33.35626,1
-70.37035,-33.35618,1
-70.37027,-33.35608,1
-70.37015,-33.35587,1
-70.36998,-33.35548,1
-70.36982,-33.35527,1
-70.36955,-33.35481,1
-70.36953,-33.35479,1
-70.36952,-33.35477,1
-70.36948,-33.354730000000004,1
-70.36943,-33.35466,1
-70.36909,-33.35439,1
-70.36869,-33.35412,1
-70.36848,-33.35401,1
-70.36841,-33.35399,1
-70.36788,-33.35374,1
-70.36754,-33.3535,1
-70.36743,-33.3534,1
-70.36738,-33.35333,1
-70.36736,-33.35332,1
-70.36725,-33.35321,1
-70.36717,-33.35307,1
-70.36708,-33.35286,1
-70.36692,-33.35271,1
-70.36684,-33.35258,1
-70.36683,-33.35255,1
-70.36683,-33.35244,1
-70.36685,-33.35238,1
-70.36684,-33.35221,1
-70.36678,-33.35206,1
-70.36672,-33.35201,1
-70.36669,-33.35201,1
-70.36661,-33.35199,1
-70.36659,-33.35197,1
-70.36641,-33.35187,1
-70.3664,-33.35186,1
-70.36632,-33.35182,1
-70.36619,-33.35171,1
-70.36561,-33.35091,1
-70.36554,-33.35083,1
